Id	norm.dF4Ur1	norm.dF4Ur2	norm.dF4Ur3	norm.dF4Mr1	norm.dF4Mr2	norm.dF4Mr3	norm.dF4M40r1	norm.dF4M40r2	norm.dF4M40r3
Abhd18	67	112	103	34	47	45	24	66	40
Abi3	1722	594	838	255	133	183	127	45	50
Ablim1	4498	5328	5579	2681	3142	3041	1759	1796	1171
AC061963.1	33	17	16	3	2	3	2	20	3
AC117232.5	1	2	4	9	7	11	10	0	9
AC122379.2	8	14	11	6	4	11	3	0	4
AC123705.1	31	51	81	17	13	25	11	0	15
AC123705.2	20	59	94	17	15	25	8	0	19
AC123705.3	22	36	51	8	9	20	6	5	3
AC124413.3	17	11	5	1	2	3	1	0	0
AC125206.3	13	17	29	6	7	8	2	0	3
AC125351.1	264	258	250	85	80	60	63	35	28
AC127581.1	26	24	24	2	10	8	4	10	6
AC140264.2	38	38	44	21	27	8	10	5	0
AC151730.1	34	143	1601	16	31	741	5	25	340
AC151971.1	6	16	13	4	2	1	2	10	4
AC151971.10	36	51	86	30	32	41	29	25	37
AC153536.3	23	26	71	29	26	35	9	0	6
AC159308.6	7	7	16	3	6	4	2	15	9
AC160051.2	9	36	29	22	36	24	11	10	9
AC163637.2	6	1	0	4	2	4	6	0	3
Acacb	5	6	4	11	6	6	18	55	10
Acap1	3988	2261	1898	1717	1410	1293	1096	651	640
Accs	212	191	164	90	111	72	91	121	56
Ache	9	9	45	9	6	42	10	15	40
Acot11	43	22	24	14	6	17	11	15	8
Acot7	77	39	40	200	105	119	285	212	152
Acp5	1117	502	246	41	76	46	27	35	18
Acpp	9	18	15	8	6	6	13	20	15
Acsf2	554	365	276	134	142	83	82	61	51
Acss1	1115	806	675	188	189	178	60	35	51
Actn1	307	209	335	1942	1579	1272	1440	787	874
Acy1	279	101	65	250	181	114	338	232	179
Adam19	2342	2427	2617	1106	1134	886	876	605	745
Adam6b	9	20	16	9	6	7	5	0	5
Adamts13	2	3	1	12	13	15	42	91	29
Adamts6	122	310	453	292	468	510	76	76	96
Adamts7	31	5	36	58	29	107	93	81	394
Adap1	106	78	55	139	103	60	480	535	314
Adarb1	90	70	71	357	346	258	233	141	165
Adcy7	4012	3223	2551	2086	1975	1438	971	525	406
Add1	2952	2425	2194	1480	1477	1265	854	555	663
Add3	2055	1952	1929	750	803	657	439	383	406
Adgre1	55	63	110	44	54	63	37	61	24
Adgre5	1717	1131	1271	1104	1053	1281	814	358	753
Adgrg1	109	56	184	303	138	392	338	106	457
Adgrl2	230	184	223	205	176	268	343	378	470
Adk	78	104	95	173	158	118	249	197	169
Adm	55	18	51	184	110	230	598	166	516
Ado	490	300	275	672	520	421	684	595	457
Adora2a	200	129	94	210	214	131	417	580	289
Adsl	622	400	326	829	647	594	989	1064	734
Aen	335	388	238	684	811	490	918	928	654
Aff3	2733	1902	2474	1231	983	1135	1131	545	970
Aff4	1962	2639	2862	1893	2044	2418	1630	1160	1991
Agbl1	5	7	12	0	1	0	0	40	0
Ago4	284	337	244	132	166	176	66	50	72
Agpat1	1085	388	391	735	515	510	1123	459	652
Agpat5	93	177	164	209	262	229	265	262	353
Agrn	203	297	227	415	493	300	657	1458	360
Ahr	159	90	296	2389	1529	2454	3103	1629	3250
Ahsa1	572	366	466	634	565	597	859	575	668
AI427809	14	3	5	2	3	0	1	0	5
AI467606	1003	377	294	138	168	93	99	76	37
AI506816	489	637	467	1256	1507	1098	1653	1382	1651
Aim1	422	474	770	162	183	410	109	81	243
Aimp2	193	121	104	297	207	212	360	156	299
Airn	2	5	8	22	27	51	44	35	107
Ak6	67	42	67	105	87	83	142	91	190
Akap1	17	42	37	103	133	105	163	222	183
Akap13	5504	5893	6223	2982	2913	3015	3088	2169	3352
Akr1b10	174	183	176	78	89	73	47	30	36
AL591582.1	53	58	59	23	31	15	22	35	29
Alcam	626	792	617	1461	1346	1448	1018	832	1145
Aldh18a1	565	445	380	924	731	778	1052	590	851
Aldoc	203	41	55	29	21	18	16	50	10
Alg3	119	90	110	221	189	219	323	252	349
Alg8	124	125	125	258	243	261	326	267	354
Alg9	259	222	162	367	396	359	541	504	564
Aloxe3	2	0	0	13	6	10	5	25	3
Alpl	204	69	243	309	155	226	439	172	359
Amer1	165	326	256	126	176	171	82	55	118
Amigo2	238	162	310	376	213	549	572	494	746
Ampd2	414	305	219	574	469	323	705	696	383
Ampd3	264	199	289	78	89	153	68	66	121
Amz1	110	37	44	192	51	77	211	91	55
Amz2	194	146	181	91	113	67	99	55	87
Angptl4	4	6	1	12	17	7	16	25	3
Ank	355	165	230	625	424	553	556	303	397
Ankrd13b	22	13	20	95	67	67	96	106	97
Ankrd13d	278	177	177	44	65	52	38	55	22
Ankrd33b	523	542	551	909	921	913	1679	2426	1974
Ankrd44	1750	2348	2474	570	746	722	252	277	198
Ankrd55	16	4	7	2	2	7	0	10	0
Ano6	839	821	853	386	435	375	306	282	261
Anp32b	537	708	749	1336	1335	1651	1624	1639	2340
Anp32b-ps1	93	40	25	184	87	98	223	177	156
Antxr2	173	124	151	105	77	124	86	81	119
Anxa1	111	203	169	62	157	136	63	55	115
Anxa6	1130	624	585	224	164	184	176	136	79
Aoc2	107	139	116	284	309	226	330	323	238
Ap1m2	20	8	5	5	4	4	7	10	0
Ap3m2	229	166	244	97	92	110	61	86	56
Apbb2	110	65	81	38	40	44	18	25	9
Apex1	568	306	289	816	702	695	1265	989	1102
Appl2	195	198	169	121	128	83	99	66	75
Aprt	616	208	121	594	415	233	797	736	313
Arhgap15	584	1181	1096	217	344	338	116	121	138
Arhgap18	62	99	114	28	26	67	15	30	19
Arhgap24	480	455	865	1475	893	1689	1916	1170	2356
Arhgap25	1303	917	1030	630	466	646	407	303	441
Arhgap26	1195	1249	1250	737	507	649	463	454	376
Arhgap27os3	523	393	687	205	164	254	120	126	151
Arhgap31	473	456	450	252	303	249	164	101	197
Arhgap33	123	67	79	22	28	34	19	55	29
Arhgap4	3141	2025	1930	769	777	609	509	348	244
Arhgap45	18548	6948	6679	3391	2690	2231	2383	1821	1302
Arhgap6	93	41	92	27	21	18	17	20	12
Arhgdib	5927	2243	2819	852	868	1043	648	368	689
Arhgef1	13001	5934	5220	3370	2636	2129	2700	2154	1217
Arhgef10	41	19	13	5	2	1	2	30	1
Arhgef11	756	719	780	472	479	434	461	388	397
Arhgef18	3617	2933	1885	421	636	350	265	232	147
Arhgef3	2075	1565	1609	851	1014	750	712	565	590
Arid3b	1422	1175	1138	636	541	423	546	272	349
Arntl	323	395	449	215	234	253	157	166	167
Arrb1	777	644	586	247	245	260	104	146	132
Art4	13	2	17	2	2	7	0	0	12
Asah2	41	96	119	29	46	81	29	35	45
Ascl4	32	4	22	2	1	1	1	0	1
Asna1	553	218	273	578	428	525	726	252	526
Asns	33	21	69	57	88	121	90	66	174
Asph	23	26	58	63	56	90	25	55	56
Atad3a	478	458	230	1046	1079	549	1374	1342	769
Atf4	2173	1009	1175	2217	1800	2171	2817	1740	2862
Atic	591	688	463	1149	1081	819	1506	1150	1238
Atp10d	667	789	657	333	399	272	286	298	285
Atp1a1	3052	2088	1753	6087	4452	3878	6061	3248	3780
Atp2a3	5151	4109	2421	1619	1782	833	879	787	308
Atp4a	1	2	1	19	4	17	38	40	31
Atp5b	4466	2645	2118	5505	4600	3713	7217	5417	4640
Atp5k	111	30	70	75	56	74	82	96	87
Atp6v1f	593	237	177	308	365	256	490	308	285
Atp7b	9	8	17	19	11	39	19	35	26
Atp8a1	768	1270	1425	486	644	664	362	348	396
Atxn1	161	104	228	312	209	352	556	383	831
Atxn7l1	364	360	545	198	195	257	118	71	127
Auh	280	350	316	217	218	156	199	182	141
Aven	112	90	66	227	162	145	307	257	204
Avil	24	34	21	4	11	1	3	40	4
Axl	102	37	145	880	417	920	1466	1352	2103
B230377A18Rik	0	0	0	5	2	4	4	0	4
B3galt6	127	69	51	136	143	70	224	641	139
B3gnt5	1215	2269	1945	1214	1738	1243	853	615	630
B3gnt8	1190	357	261	45	43	15	15	10	5
B430306N03Rik	52	75	102	27	53	65	22	40	52
B4galt1	1197	937	1120	1874	1554	1952	2472	1770	2816
B930036N10Rik	28	51	33	85	109	60	110	81	111
Bag1	544	232	263	650	410	437	801	600	539
Bag2	28	19	34	49	42	62	60	45	55
Bank1	4106	5357	5229	1006	1056	767	605	232	247
Basp1	213	51	131	374	134	324	1232	989	1385
Batf	193	51	77	174	87	111	309	126	216
Bax	863	301	209	705	573	386	1011	1559	420
Baz2a	2589	2316	2697	1652	1472	1758	1522	1352	1640
Baz2b	1458	1869	2504	1091	1052	1501	872	615	1180
Bbc3	243	107	58	166	157	72	244	282	68
Bbs9	267	301	285	121	109	97	90	66	100
BC003965	237	153	151	270	276	180	314	832	222
BC043934	83	57	46	14	14	10	8	0	8
BC048403	145	128	123	245	198	218	326	166	295
BC106179	43	55	45	26	33	34	12	5	14
Bcar3	3049	1888	2181	4190	3119	3450	4648	2053	3468
Bcat1	78	102	70	600	502	518	576	348	511
Bcl11a	3005	3979	4046	1165	1248	1160	649	489	630
Bcl2	674	1128	842	364	476	371	216	156	219
Bcl2a1b	34	36	20	58	53	60	50	121	133
Bcl2l1	269	175	190	868	624	562	1078	1195	829
Bcl2l11	745	1058	786	1932	1990	1918	1374	747	1349
Bcl7a	1937	1491	1920	714	660	769	520	393	446
Bcl9l	2751	1139	1253	615	326	357	509	484	254
Bend3	194	250	236	869	723	765	804	641	694
Bend5	368	292	184	104	124	77	73	81	52
Bex3	152	28	94	142	75	159	84	81	75
Bfsp2	122	46	41	15	17	11	8	5	5
Bhlhe40	382	354	433	1863	1368	1862	3832	1907	4009
Bid	423	363	323	575	486	508	738	631	612
Bmf	454	468	359	249	311	286	91	111	101
Bmp1	13	18	17	26	30	24	46	111	36
Bmp2k	1626	2433	2368	996	1242	1161	799	1190	1098
Bola2	626	124	117	404	273	209	570	459	279
Bola3	148	97	95	172	158	161	198	126	194
Bop1	866	509	358	1090	792	571	1505	792	827
Bphl	93	41	57	30	22	25	24	45	24
Brwd1	1121	2064	1389	1177	1241	1063	1122	1180	1240
Bspry	47	12	11	117	76	35	85	126	55
Bst2	226	69	173	149	109	187	183	222	144
Btf3	396	386	250	387	435	345	461	393	374
Btg2	4353	2809	2506	1419	1387	1275	644	338	383
Btk	1587	1496	1625	934	973	1090	642	333	639
Btnl2	93	60	54	40	31	35	30	20	15
Bysl	241	168	147	654	409	374	805	525	534
Bzw2	269	265	257	716	691	594	888	651	771
C130013H08Rik	54	30	48	95	70	84	77	30	60
C130089K02Rik	221	186	292	220	124	222	89	25	66
C1qbp	725	406	370	1499	992	983	2035	953	1311
C2	4	10	3	16	7	13	13	25	27
C230037L18Rik	51	43	49	34	33	31	17	50	17
C230096K16Rik	120	125	95	39	60	56	23	86	78
C430002N11Rik	0	7	8	11	11	6	14	15	20
CAAA01194877.1	224	234	366	92	80	136	42	61	38
Cacna1d	468	253	403	182	128	156	129	141	132
Cacna1e	2378	2573	2450	308	367	293	134	227	119
Cacna1h	221	314	211	42	105	58	22	35	18
Cacna1i	1893	1245	813	26	45	32	17	35	6
Cacna2d4	13	5	8	2	2	3	3	45	5
Cad	1486	1300	767	3579	2733	1578	4719	3808	2181
Calhm2	884	595	355	202	228	117	112	66	42
Camk1d	508	537	606	176	215	230	134	197	239
Camk2a	32	29	41	5	12	7	8	40	5
Camk2d	1752	2496	2292	1499	1823	1699	1029	968	1049
Capns2	3	7	4	1	1	1	0	10	0
Caprin2	84	119	141	66	84	97	53	50	59
Capsl	1	0	1	4	6	11	9	40	43
Card11	2076	1361	1377	924	772	757	755	444	515
Card6	1304	1399	1722	445	561	647	257	277	358
Carmil1	661	635	889	196	202	300	178	197	181
Carns1	1478	665	621	181	198	111	94	126	33
Casp4	179	283	405	569	781	944	449	540	897
Casp8	664	711	800	370	424	445	352	288	381
Casp9	420	304	265	189	162	132	147	121	92
Cast	695	967	981	619	668	799	488	383	567
Cat	669	481	577	220	192	237	153	116	187
Cbarp	225	60	40	300	165	119	176	96	56
Cbfa2t3	561	458	454	263	194	225	226	151	199
Cblb	991	1094	1468	638	618	708	653	424	813
Cbx6	471	341	256	128	160	119	112	146	107
Ccdc114	52	40	54	19	16	15	14	30	12
Ccdc115	124	103	65	132	163	154	171	182	156
Ccdc116	41	37	28	110	60	52	133	96	86
Ccdc125	161	185	164	71	81	81	44	50	55
Ccdc69	136	78	70	38	28	29	18	5	14
Ccdc82	313	735	734	290	420	486	193	388	323
Ccdc85c	71	29	25	130	92	73	180	172	70
Ccdc86	335	230	206	660	481	418	829	555	532
Ccdc88c	2582	1909	1992	1011	953	760	958	812	822
Ccl4	19	5	25	48	35	53	21	20	20
Ccne1	35	19	44	10	7	34	5	15	24
Ccng2	913	997	1090	412	406	560	201	207	210
Ccpg1	43	87	73	19	37	31	16	25	9
Ccr5	19	12	48	82	44	152	80	71	102
Ccr6	1495	1446	1153	3108	1807	1465	2561	847	958
Ccr9	9	5	40	89	87	381	117	50	263
Cct3	1071	1174	774	2244	2374	1594	3167	2729	2241
Cct5	2009	1426	1211	2768	2168	1835	3576	2921	2708
Cct6a	831	964	995	2207	1993	2227	3038	4358	3765
Cct7	1435	1002	867	1922	1826	1505	2702	2562	2074
Cd1d1	176	132	84	28	26	11	21	25	14
Cd2	862	367	444	93	92	108	41	0	28
Cd22	8046	6947	5592	1714	2254	1629	736	469	342
Cd24a	813	1115	1723	537	731	1205	293	252	749
Cd27	1	1	0	1	3	4	3	5	0
Cd320	110	43	29	138	106	70	168	182	88
Cd36	353	531	528	194	225	167	183	131	262
Cd37	10625	5533	5203	3486	2856	2442	3353	2527	2034
Cd38	601	1020	789	295	470	317	145	111	102
Cd3eap	135	46	87	201	95	153	282	166	193
Cd46	83	108	143	52	76	69	48	61	97
Cd5	38	7	26	158	53	107	113	15	50
Cd53	1746	3029	2613	1267	2342	1890	805	933	1164
Cd55	1970	3301	4222	456	740	879	192	197	339
Cd55b	12	44	22	3	5	4	1	15	1
Cd63	9	10	13	42	38	65	49	217	64
Cd63-ps	9	15	4	25	29	10	50	50	19
Cd79a	12678	3914	3513	1765	1462	1187	1311	530	480
Cd83	2123	1881	1167	4894	3716	2850	5603	2673	3418
Cd99l2	136	98	75	35	35	28	33	30	20
Cdc25b	856	588	557	106	125	133	48	20	63
Cdc34b	72	2	29	35	5	44	68	10	73
Cdc42ep3	169	91	92	27	32	65	15	61	58
Cdc42se2	1330	1380	1094	618	671	461	532	383	426
Cdca7	131	194	121	377	356	246	488	600	326
Cdca7l	63	91	81	136	152	159	196	257	158
Cdh17	63	56	100	58	24	65	40	20	42
Cdh24	87	54	50	165	141	103	113	161	61
Cdk19	704	898	919	316	417	470	247	252	288
Cdk4	1139	532	552	1762	1201	1246	2403	1402	1602
Cdk5r1	75	77	81	189	224	143	318	540	382
Cdk6	488	1410	1497	2428	3443	4173	3374	5367	6779
Cdkl1	51	56	48	2	1	0	0	0	3
Cdkn1a	85	60	67	120	148	132	257	333	202
Cdkn1b	1097	1178	1134	404	535	571	287	318	397
Cdkn2d	316	102	57	35	29	20	14	20	12
Cds2	1409	1643	1612	1095	1136	952	956	1024	864
Cdv3-ps	27	37	50	59	73	56	66	30	97
Ceacam1	387	536	494	56	98	95	11	10	14
Cecr6	36	12	7	93	16	25	14	10	1
Celf2	1691	2618	3002	1557	1653	1993	1490	1054	1523
Cenpa	421	399	426	203	228	267	150	136	158
Cenpv	12	4	8	30	18	21	19	35	10
Cep250	892	753	853	461	405	480	307	499	202
Cep89	209	205	243	102	102	115	80	86	86
Cep97	255	480	354	100	175	122	81	111	101
Cerk	6807	3220	3790	2034	1537	1705	1055	565	604
Cerkl	43	28	61	26	29	51	26	25	24
Cers4	483	532	355	227	243	216	178	141	143
Cers6	133	384	301	396	537	459	213	192	288
Chac1	43	26	21	64	61	72	110	96	148
Chchd1	204	87	92	177	138	117	266	161	165
Chchd4	232	156	137	397	318	295	509	469	392
Chka	544	912	1090	2351	2353	3089	2304	2003	2603
Chpf	431	116	84	603	312	198	550	282	190
Chst15	1308	1457	1323	513	639	431	332	313	225
Ciart	26	17	29	88	91	84	94	76	111
Cinp	188	164	136	258	243	233	321	247	319
Cish	30	11	29	69	29	52	82	20	63
Cklf	203	408	426	193	254	254	159	227	225
Clcf1	1808	940	1084	651	454	504	331	207	242
Clec11a	49	27	24	52	42	29	47	30	35
Clec12a	47	41	38	5	10	25	15	50	26
Clic4	753	1034	1179	1204	1149	1584	1594	2053	2139
Clns1a	353	304	264	519	469	392	675	701	541
Clpb	216	251	203	381	389	264	457	358	351
Cluh	1424	950	742	3229	2114	1803	3896	3208	2105
Cmah	1604	3245	2180	597	1087	675	223	282	189
Cmpk2	47	29	400	4	13	218	1	35	127
Cmss1	55	26	18	74	65	62	133	81	91
Cmtm8	19	17	13	22	13	48	12	20	17
Cnksr3	176	123	81	52	46	52	26	40	14
Cnn3	869	957	647	332	510	295	317	288	234
Cnp	4897	1801	1535	575	502	392	318	313	165
Cnr2	1251	942	786	335	440	289	255	187	176
Cnrip1	39	38	30	21	12	22	22	25	20
Cntnap1	1	1	4	1	4	1	4	30	9
Cobll1	503	585	854	216	213	376	120	86	161
Col23a1	51	17	38	2	4	17	3	25	4
Col27a1	2330	863	1265	109	94	121	73	101	40
Comtd1	166	44	41	129	80	69	160	121	66
Coprs	15	6	9	19	11	18	23	40	14
Cops6	641	294	316	659	443	442	809	373	567
Cops7a	529	310	255	744	540	594	1010	842	686
Coq4	145	43	41	144	77	76	188	121	105
Cox10	177	130	157	283	243	230	366	237	243
Cox6c	360	263	280	325	327	383	361	272	503
Cox7b	227	238	185	270	353	260	321	237	295
Cplx2	266	171	466	16	18	63	16	35	27
Cpm	1160	638	1215	169	146	230	131	136	151
Cpne5	40	7	5	1	2	6	0	40	1
Cpt1a	690	917	471	302	454	268	150	126	101
Cracr2a	77	81	99	42	46	51	38	10	26
Crat	264	107	147	91	68	95	59	25	49
Creb3l2	333	358	453	291	242	298	207	192	178
Crip1	303	87	70	52	20	42	36	15	35
Crisp3	161	261	147	103	135	101	20	10	5
Crlf3	795	1038	828	480	567	468	387	530	401
Crls1	115	90	102	198	172	184	253	575	236
Crybg3	554	697	676	266	309	347	198	227	233
Csf1	294	168	411	837	856	869	444	277	470
Csnk1g3	1047	1192	1270	741	816	840	512	393	740
Cst7	3	2	5	33	18	22	54	20	63
Cstb	287	49	154	281	160	406	497	172	615
CT009769.1	3	8	4	0	1	0	1	10	0
Ctdsp2	1605	997	873	450	559	385	249	323	144
Ctnnal1	75	75	110	66	47	83	54	45	54
Ctps	134	240	174	547	598	444	689	863	754
Ctps2	578	692	746	321	411	430	229	222	222
Ctse	194	132	415	27	50	250	12	35	183
Cux1	1960	1716	2482	1335	1185	1484	1189	958	1220
Cxxc5	930	343	397	322	204	159	114	50	55
Cyb561a3	1747	1593	1088	703	912	482	621	419	242
Cyc1	1205	330	297	823	512	414	1152	1392	413
Cyp27a1	973	415	343	71	68	35	25	50	17
Cyp27b1	2	8	12	19	21	10	28	50	18
Cyp2d22	29	33	7	3	6	1	1	0	0
Cyp39a1	55	93	82	15	18	28	8	40	3
Cyp4f18	1894	714	531	82	102	67	48	40	31
Cyth4	1238	568	483	351	276	230	311	172	157
Cytip	1873	2142	1983	1549	1341	1361	1125	424	840
D030028A08Rik	54	112	96	273	262	222	301	474	353
D2hgdh	218	246	220	106	176	133	71	121	70
D330041H03Rik	201	233	184	84	135	114	66	61	64
D830025C05Rik	20	13	12	5	6	8	3	0	3
D930048N14Rik	130	49	70	31	31	34	19	30	12
Dancr	43	44	44	120	120	114	160	161	167
Dapp1	493	626	531	240	265	222	210	166	210
Dcaf12	778	795	520	459	497	340	288	343	271
Dck	261	566	569	90	168	218	60	45	144
Dclk2	648	618	376	212	266	108	161	197	83
Dctd	53	51	41	178	135	142	287	192	275
Dctpp1	224	85	36	238	187	84	374	177	120
Ddb2	436	279	306	156	143	153	112	61	92
Ddit3	197	99	143	270	265	329	257	192	317
Ddx21	1000	1613	1700	3746	3585	3974	4623	3682	5846
Ddx25	28	15	13	7	3	6	2	25	1
Ddx27	709	548	558	1311	968	1069	1564	1054	1425
Ddx31	186	231	199	406	354	338	465	348	442
Ddx51	495	398	289	652	563	463	698	752	621
Ddx56	623	362	265	758	616	438	942	787	585
Ddx58	315	458	1793	106	138	1024	60	96	639
Ddx60	32	53	436	17	17	233	11	71	189
Def6	1303	507	420	233	189	154	213	333	82
Degs1	424	333	459	549	446	750	773	464	1160
Dennd1c	1280	974	1055	446	487	456	302	197	248
Dennd3	1138	787	593	212	191	117	183	288	100
Dennd5b	955	1837	1744	1003	1368	1487	616	550	590
Dgat2	14	13	15	15	11	27	16	25	14
Dgka	2600	1973	1991	312	439	393	136	227	82
Dgkd	5417	4631	3835	3092	2994	2330	2428	1831	1310
Dgkh	130	140	144	528	361	496	285	166	198
Dhrs13	37	12	9	49	33	24	72	66	40
Dhrs3	27	24	24	49	65	66	117	116	75
Diras2	88	144	49	13	28	10	6	10	3
Dll1	38	21	34	8	8	20	3	10	5
Dnah8	156	238	298	48	84	125	14	61	31
Dnajc15	100	56	54	88	82	69	114	66	125
Dnajc28	49	39	34	18	17	11	15	45	19
Dnase1l3	281	139	462	554	402	824	824	373	985
Dnase2a	837	335	271	1101	770	659	1107	958	722
Dnlz	399	184	157	398	263	246	447	444	250
Dnph1	4	3	1	16	11	3	27	55	14
Dock2	7494	7407	9040	4828	4111	4978	4103	2547	3900
Dock8	3461	3144	3714	1748	1798	1775	1593	1079	1288
Dot1l	1545	1122	1308	3065	2225	2605	3849	3168	3459
Dpagt1	219	193	185	289	281	243	311	217	254
Dph1	244	130	99	286	216	156	304	172	178
Dph2	353	197	151	416	353	246	473	499	265
Dpp4	698	1250	1751	222	332	524	149	141	280
Dpp7	330	177	170	703	597	550	700	489	445
Dpy30	148	88	102	134	127	171	174	166	193
Dpysl2	975	962	815	687	764	614	388	262	266
Dse	26	30	53	15	23	24	9	35	18
Dstyk	312	386	379	382	394	351	259	232	288
Dus4l	62	90	95	162	161	218	207	116	325
Dusp14	21	7	20	91	67	74	110	66	162
Dusp4	865	376	436	2450	1468	1347	2773	3047	1531
E130215H24Rik	68	34	22	4	8	3	1	0	1
E230016M11Rik	17	17	12	4	3	17	2	5	5
E2f2	524	405	531	84	86	139	147	121	208
Ebf1	3357	4029	5181	2045	1840	3055	1523	1367	2229
Ebna1bp2	480	284	352	845	517	799	1125	898	1218
Ece2	124	49	37	162	127	81	194	177	128
Edaradd	83	156	136	62	76	107	125	101	158
Eef1d	1094	626	569	1112	966	767	1405	1367	1035
Eef1e1	105	104	161	238	233	365	357	282	702
Egfl6	2	2	4	4	2	14	9	10	8
Egr1	730	909	900	1648	1764	2556	497	388	751
Egr2	208	240	269	1847	1812	1736	964	661	739
Egr3	557	502	548	1483	1149	1990	637	298	723
Ehd1	1155	782	665	2342	1833	1641	3024	2371	2179
Ehd3	220	200	145	78	92	104	68	50	38
Ehd4	411	384	490	263	283	329	205	161	219
Eif2b3	130	137	197	365	335	354	452	398	524
Eif3b	1974	1343	1071	3515	2548	2094	4459	4393	2882
Eif3d	1635	892	751	1857	1408	1165	2195	1140	1558
Eif3g	1445	423	463	1290	769	747	1733	1130	1082
Eif4a-ps4	438	700	445	1095	1616	1189	1455	2078	1751
Eif4a1	386	788	454	863	1471	952	1040	2068	1376
Eif5a	2851	1568	1131	2850	2724	2150	4491	2890	3234
Eif6	1010	399	240	844	731	511	1354	1690	647
Elac2	439	306	284	738	531	559	812	419	627
Elmod3	404	205	211	112	103	108	99	40	54
Elp5	465	257	238	629	531	494	885	560	626
Emc4	122	78	50	128	131	107	190	136	110
Eml6	46	45	51	29	21	29	37	81	23
Emp1	12	5	25	36	42	138	57	76	189
Emp3	976	282	391	231	155	178	467	187	410
Enc1	75	87	51	60	102	48	81	136	59
Eng	39	9	40	13	11	22	13	20	26
Eno2	25	9	28	97	94	111	172	166	244
Enpp1	208	289	246	167	172	204	88	81	81
Entpd1	151	130	232	39	29	58	18	15	36
Entpd5	283	407	372	209	272	271	140	111	147
Epb41	1480	1308	1627	918	782	1071	701	393	765
Epb41l1	13	1	5	6	6	10	13	40	14
Epha1	19	9	3	4	4	1	1	10	0
Epha2	16	48	38	58	85	58	77	96	61
Epop	186	31	20	323	124	94	463	414	139
Eps8	70	107	121	56	75	70	47	81	58
Eps8l1	1317	370	354	512	217	152	348	141	93
Epsti1	246	177	512	93	79	261	70	40	201
Ergic1	336	313	290	740	666	604	950	419	742
Ero1lb	1005	1652	1245	382	618	507	316	404	291
Erp27	59	83	88	16	32	17	18	0	12
Esr1	31	29	30	22	22	21	3	20	5
Etnk1	1853	4239	4627	1786	2686	3447	1421	1861	2898
Ets1	7397	9007	8195	2397	3086	2488	1495	1150	1118
Evl	3339	1256	1491	598	539	571	270	298	203
Exosc1	204	160	177	299	241	275	352	192	401
Exosc2	253	306	185	392	419	274	482	651	396
Extl1	48	24	8	8	6	11	10	30	3
F730043M19Rik	10	26	17	14	20	13	18	20	10
F730311O21Rik	1068	1080	1026	131	143	131	64	45	43
F930017D23Rik	2	7	20	2	6	4	1	25	9
Faah	95	37	108	66	30	41	19	25	17
Fabp5	8	13	7	30	45	51	77	101	83
Fam102b	116	130	115	102	94	108	72	91	84
Fam105a	62	52	45	41	32	53	22	35	23
Fam111a	615	1167	1780	479	544	812	322	358	491
Fam114a1	40	40	32	21	20	14	11	0	8
Fam117a	467	304	322	124	152	184	72	66	115
Fam129a	204	308	338	249	387	300	393	575	564
Fam129c	2121	1491	1220	1300	1223	768	1855	2749	1583
Fam136a	192	158	104	325	351	225	412	237	355
Fam160a1	38	93	38	158	192	60	282	313	120
Fam162a	174	82	91	270	209	204	312	293	328
Fam167a	404	272	442	2571	1925	2791	3075	1826	3137
Fam168a	440	511	477	227	266	229	186	141	128
Fam20c	64	28	15	78	76	49	211	328	152
Fam212b	22	49	29	93	146	56	137	212	64
Fam213a	257	141	191	596	427	637	504	272	495
Fam214a	935	1282	1122	563	705	591	209	197	181
Fam46a	181	231	469	48	87	139	23	45	78
Fam46c	50	76	160	588	331	594	1202	641	1300
Fam63a	596	384	360	129	163	93	115	126	86
Fam65a	465	275	314	133	117	133	99	76	68
Fam65b	3786	3944	3138	1974	2247	1726	1155	893	751
Fam69a	312	335	342	228	228	263	155	91	146
Fam78a	393	228	169	98	88	70	68	81	36
Fam83e	24	12	18	51	64	38	65	66	40
Fam83g	280	140	137	697	408	366	1076	868	615
Fancm	293	415	432	232	247	285	194	393	219
Fas	31	40	61	29	53	44	89	101	130
Fasn	3530	2098	1875	6775	3784	3609	8063	4530	4410
Fbxl20	851	1144	932	478	555	514	367	530	323
Fbxo32	223	206	129	53	63	56	38	66	23
Fbxw13	1	14	5	0	2	0	0	20	1
Fcer2a	5965	4466	3293	948	1354	830	1399	1670	1371
Fcgr2b	1610	1536	1640	977	891	1015	715	303	689
Fcgrt	186	79	41	4	4	1	3	10	0
Fcrla	6285	2350	3121	1623	1172	1358	691	318	415
Fdxacb1	113	121	121	199	216	124	208	232	220
Fen1	327	184	189	386	310	247	419	525	332
Fes	484	210	202	83	69	100	50	101	40
Ffar1	636	678	503	124	178	117	65	30	19
Fgd2	1892	1167	812	76	68	55	62	96	43
Fgd3	1560	1054	861	554	561	425	356	232	227
Fkbp1a	539	395	405	779	638	597	990	631	843
Fkbp4	1315	667	485	1598	1198	873	2055	2033	1173
Fli1	2317	1625	2361	674	583	930	507	252	553
Flna	5228	4925	4326	2053	2286	1831	2097	1937	1755
Flt1	26	34	54	109	153	103	41	50	20
Flt3l	184	116	111	45	46	42	17	50	17
Fmnl1	5093	2957	2498	1323	1078	916	1062	741	634
Fmo5	129	113	108	41	42	42	17	10	24
