Id	norm.dF4Ur1	norm.dF4Ur2	norm.dF4Ur3	norm.dF4Mr1	norm.dF4Mr2	norm.dF4Mr3	norm.dF4M40r1	norm.dF4M40r2	norm.dF4M40r3
Spo11	69	74	108	8	12	22	8	0	3
Spp1	19	12	30	55	40	69	14	0	23
Spr	52	25	16	39	29	17	72	146	32
Spred1	68	95	110	208	302	288	222	469	440
Spry4	1	0	1	5	17	8	3	15	15
Spryd4	150	83	57	118	125	83	165	86	100
Sqstm1	3251	973	1329	2534	1444	2040	4381	2346	3059
Srgap2	631	629	816	356	332	390	317	298	277
Srm	530	212	147	1185	718	576	1696	1069	882
Srms	25	8	5	4	1	0	1	15	0
Srpk3	909	452	356	135	123	60	47	20	9
Ssbp3	345	209	190	151	105	129	110	96	91
Ssh1	1206	907	956	422	343	396	294	247	266
Ssh2	2616	3476	3920	1415	1587	1877	1026	842	1126
Sspn	176	112	350	75	31	185	41	20	70
St13	618	927	985	1743	1884	2466	1902	1927	3135
St3gal1	1094	1449	1166	342	469	334	263	172	317
St3gal6	257	306	395	82	122	147	55	50	105
St6gal1	1951	2018	1230	1143	1393	949	591	429	319
St6galnac3	479	327	354	169	82	142	57	10	42
St6galnac4	734	549	459	1580	1153	879	1773	1377	1099
Stac2	247	113	108	46	32	49	14	55	9
Stag3	42	38	45	65	57	70	98	111	95
Stard8	117	92	70	32	38	35	27	20	12
Stat2	909	746	1844	558	491	1187	422	293	714
Stat5a	670	400	426	1338	788	890	1361	661	1011
Stip1	783	582	817	1355	1028	1526	1703	1216	1974
Stk10	2129	1685	1524	793	745	625	569	499	405
Stk17b	1926	3579	2816	1324	2150	1900	716	736	1039
Stk26	206	349	382	115	180	154	78	40	106
Stom	37	27	90	20	19	93	16	5	59
Stoml1	918	459	521	221	244	176	194	257	124
Stoml2	385	194	160	444	368	230	589	636	281
Stradb	281	300	279	171	201	206	168	141	158
Strap	522	563	437	1041	1053	897	1296	1372	1415
Stum	40	39	25	13	8	20	10	15	9
Stx11	121	106	104	208	184	173	303	293	390
Stx17	310	426	434	188	249	257	170	177	233
Stx2	138	101	129	54	50	80	57	86	83
Stx3	2	9	20	34	27	72	53	66	115
Sult2b1	7	4	5	26	10	7	16	25	4
Supv3l1	193	224	239	457	407	447	572	620	624
Surf2	260	199	217	451	351	469	523	459	604
Susd1	558	539	573	143	135	185	77	76	88
Susd3	853	287	252	95	91	67	50	40	29
Suv39h2	19	17	28	63	76	79	77	81	137
Sv2a	49	41	38	44	52	46	32	35	17
Sv2b	0	3	0	6	32	6	3	20	0
Svil	402	502	422	257	255	293	185	207	167
Swap70	4290	6422	6922	8490	7816	9812	13077	13160	16393
Swi5	530	360	426	509	491	541	650	419	684
Syce2	48	16	30	57	34	63	77	40	75
Syk	9169	9619	6942	2220	3075	1653	2058	3223	1512
Syne1	913	1295	1265	781	937	932	307	439	404
Syne2	717	803	837	382	431	410	150	156	157
Syne3	1111	971	783	608	697	514	318	454	252
Syngr2	7236	1788	2460	5073	2209	2586	7719	2174	3463
Synpo	41	17	24	112	71	70	50	55	17
Syt11	154	124	132	94	93	55	78	86	47
Sytl3	3	8	1	13	9	13	24	35	37
Tacc2	23	18	16	174	150	174	72	61	46
Taf4b	176	237	238	538	500	553	669	807	778
Taf5l	479	259	248	537	450	372	657	494	449
Tagap	149	279	156	813	1153	685	720	1594	613
Tagln2	1047	378	606	917	661	713	956	393	657
Taok3	1112	1010	1452	805	605	927	788	303	916
Tarbp1	253	294	238	573	561	402	657	1054	505
Tas1r3	51	36	34	30	19	4	16	15	4
Tbc1d10c	4385	1890	1294	556	626	268	312	267	72
Tbc1d14	868	1068	749	699	776	579	560	454	353
Tbc1d16	6	7	11	18	11	17	29	76	41
Tbc1d24	12	23	25	41	44	51	54	66	49
Tbc1d30	23	28	26	172	161	128	208	232	152
Tbl3	745	337	186	990	722	413	1337	1559	501
Tbrg4	681	489	382	1109	906	702	1424	953	811
Tbx6	185	99	140	38	34	18	16	50	6
Tcam1	11	16	8	35	28	22	64	116	49
Tceal9	94	81	65	110	157	198	59	71	105
Tcp11l2	609	715	494	99	160	154	41	66	54
Tctn1	342	331	277	188	199	171	115	101	69
Telo2	479	329	247	713	571	364	831	1095	492
Tespa1	150	230	238	120	145	142	95	116	97
Tet1	33	59	78	11	17	27	1	20	4
Tex9	103	128	244	63	66	77	41	61	60
Tfap4	162	92	67	289	154	140	306	131	153
Tfdp1	116	164	99	272	368	274	377	459	388
Tfdp2	186	322	411	113	179	234	82	161	151
Tg	13	15	15	9	4	7	0	25	0
Tgfb3	13	7	13	43	28	15	8	5	1
Thap6	95	103	71	49	62	56	26	25	45
Thbd	41	31	18	6	14	11	1	5	3
Themis2	1217	754	764	483	428	396	222	172	121
Thg1l	143	124	132	210	180	187	246	288	222
Thop1	304	119	123	494	306	230	637	409	321
Thra	63	43	42	10	22	27	5	40	5
Thyn1	72	59	55	112	100	88	156	111	153
Ticam2	67	167	110	156	199	159	185	217	286
